sentence,label,idx
hide new secretions from the parental units ,0,0
"contains no wit , only labored gags ",0,1
that loves its characters and communicates something rather beautiful about human nature ,1,2
remains utterly satisfied to remain the same throughout ,0,3
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,4
that 's far too tragic to merit such superficial treatment ,0,5
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,6
of saucy ,1,7
a depressed fifteen-year-old 's suicidal poetry ,0,8
are more deeply thought through than in most ` right-thinking ' films ,1,9
