tweet_id	label	content
3118	sadness	 USER I fear for the future of mankind
2050	joy	My roommate: it's okay that we can't spell because we have autocorrect. #firstworldprobs
1247	joy	 USER I've just found out it's Candice and not Candace. She can pout all she likes for me 😍 
2013	sadness	Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad
1165	sadness	How do u grieve someone who legally wasn't a person yet?
2335	sadness	 USER You have no Police credentials-You were a litigator. Nothing more-No Experience. #Sad #TrumpPuppet #Felon #jersey4sale
1817	joy	 USER lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali :)
2418	anger	 USER how on earth can I send an email to you? Very annoyed customer!!! #fuming
638	joy	 USER Content updates provoke that income.
2901	anger	 USER I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail
520	joy	 USER did it not just enliven your soul
1248	sadness	Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying
1315	anger	can only blame Jose ere why would you give Rojo another start after Sunday , fucking disaster waiting to happen &amp; it did shocking header !
2804	sadness	I can't mourn Kid Cudi cause we have Travis Scott...
1836	anger	 USER quite simply the #worst #airline #worstairline I've ever used! #appauling #dismal #beyondajoke #useless
3023	anger	 USER Guys don't use that type of language. Save it for raging...
1352	optimism	 USER i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety.
991	optimism	 USER So I worry about emphasis on 'keeping family together' as a guiding principle, due to my own experiences
2974	anger	OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH
2365	anger	I just don't understand why everyone is so #angry we all just want to live and thrive don't we?
1326	sadness	 USER thank you, I shall mourn her
92	joy	Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.
2238	joy	Not by wrath does one kill, but by laughter. Friedrich Nietzsche #friedrichnietzsche
1279	anger	 USER The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness #terrible
2921	optimism	Worry makes you look at the problem and God makes you look at the promise. #problem #promise #worry #fear #faith #God #theanswer #spiritu...
2519	anger	 USER He has charisma? I guess, if you like people who looked coked out and speak as if they're a school bully?
1761	sadness	I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep
701	sadness	I forgot #BB18 was on tonight  that is how much the real world has been distracting me #horrid 
263	optimism	Lunatic Asylum: The place where optimism most flourishes.
850	sadness	Baaarissshhhhh + sad song = prefect night — feeling alone
2338	anger	Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up
223	joy	 USER I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama
1924	anger	 USER King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n#Trump #horror #scifi #ccot #p2
2748	anger	This uber driver TRIED it with me &amp; he'll feel my wrath
1577	optimism	We worship at Your feet\nWhere wrath and mercy meet\nAnd a guilty world is washed\nBy love's pure stream\n—Graham Kendrick
2833	sadness	Bojack Horseman: the saddest show ever written?? #depression #season1
1359	sadness	The most depressing part of being ill is that your taste goes 😫 
1816	sadness	 USER why? Do you have depression?
116	joy	Ryan Gosling and Eva Mendes finally ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love
1324	sadness	Go away please ... I'm begging »»» #depression #anxiety #worry #fear #sadness \nDreams of joy and my baby to be found...Sits on #AndisBench
173	anger	Everyone is raging
362	anger	Nothing else could possibly put a damper on my day other than doing X-rays on someone with kickinnnnn ass breath 😿 
890	joy	Lmboo , using my nephew for meme #hilarious
1907	anger	Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.
2918	anger	On the drive home today I heard a censored version of Spirits by The Strumbellas. 'Guns' replaced with 'dreams'. Just NO. #awful #censorship
3053	anger	 USER - remind them 'Twenty's Plenty' #revenge!
535	anger	 USER there was a US diver named steele johnson. i'd like him barred from the olympics.
1013	joy	It was an #amazing #start to the first #fall day. Will it be an #Indiansummer
2764	joy	Historically Japanese have always been into #jazz and #blues. The 70s dark age of jazz big names like C.C. &amp; M.D. were surviving on Tokyo.
823	joy	 USER &amp; USER must be rejoicing ovet #Charlotte protests. \n#NorthCarolina
2953	optimism	 USER otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves
3098	anger	This is a joke USER #fuming
3057	anger	 USER she's pathetic!!! Hated Nicole for being cute &amp; having a showmance &amp; she couldn't get one! #bitter #uglycry #BBMichelle 😖 
3009	anger	Someone set off the fire alarm and I'm so angry because I was in the middle of moisturizing my elbows
2341	anger	Termination rate is at 22.22% I gotta make some things shake
767	sadness	 USER And I hope when the police met him at the subway that they took him straight to jail 😕 #awful
1329	sadness	Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious
235	sadness	nooooo. Poor Blue Bell! not again. #sad
3145	anger	 USER never said that,Just not fair how Yous think it's completely okay to bully someone
